item_id,order_id,product_id,quantity,unit_price,discount_percent,gross_amount,discount_amount,net_amount,shipping_cost
ITEM000001,ORD00001,PROD022,4,7060.74,20,28242.96,5648.59,22594.37,83.72
ITEM000002,ORD00002,PROD003,1,36626.5,0,36626.5,0.0,36626.5,62.54
ITEM000003,ORD00002,PROD048,2,26051.39,15,52102.78,7815.42,44287.36,34.19
ITEM000004,ORD00002,PROD045,5,13013.12,0,65065.6,0.0,65065.6,93.24
ITEM000005,ORD00003,PROD036,2,40439.03,10,80878.06,8087.81,72790.25,427.01
ITEM000006,ORD00003,PROD037,3,15300.23,20,45900.69,9180.14,36720.55,244.19
ITEM000007,ORD00003,PROD046,5,33159.86,5,165799.3,8289.96,157509.34,133.71
ITEM000008,ORD00004,PROD033,3,3346.07,15,10038.21,1505.73,8532.48,450.38
ITEM000009,ORD00004,PROD046,5,33159.86,5,165799.3,8289.96,157509.34,80.66
ITEM000010,ORD00004,PROD014,5,10695.72,15,53478.6,8021.79,45456.81,251.84
ITEM000011,ORD00005,PROD017,4,15281.69,5,61126.76,3056.34,58070.42,486.04
ITEM000012,ORD00006,PROD027,2,10063.72,5,20127.44,1006.37,19121.07,40.78
ITEM000013,ORD00006,PROD041,2,6189.71,0,12379.42,0.0,12379.42,472.93
ITEM000014,ORD00006,PROD025,4,22857.89,5,91431.56,4571.58,86859.98,414.12
ITEM000015,ORD00006,PROD019,4,21654.06,15,86616.24,12992.44,73623.8,201.49
ITEM000016,ORD00006,PROD044,5,45475.09,5,227375.45,11368.77,216006.68,175.88
ITEM000017,ORD00007,PROD022,4,7060.74,5,28242.96,1412.15,26830.81,166.35
ITEM000018,ORD00007,PROD017,1,15281.69,0,15281.69,0.0,15281.69,353.93
ITEM000019,ORD00007,PROD038,2,4973.84,0,9947.68,0.0,9947.68,286.67
ITEM000020,ORD00007,PROD011,1,1127.17,0,1127.17,0.0,1127.17,172.97
ITEM000021,ORD00007,PROD047,4,15654.38,0,62617.52,0.0,62617.52,180.23
ITEM000022,ORD00008,PROD002,2,47540.64,5,95081.28,4754.06,90327.22,262.89
ITEM000023,ORD00008,PROD036,1,40439.03,15,40439.03,6065.85,34373.18,478.55
ITEM000024,ORD00008,PROD050,2,9324.24,0,18648.48,0.0,18648.48,443.18
ITEM000025,ORD00008,PROD022,2,7060.74,5,14121.48,706.07,13415.41,180.53
ITEM000026,ORD00008,PROD018,4,26285.35,5,105141.4,5257.07,99884.33,209.25
ITEM000027,ORD00009,PROD001,1,18789.55,0,18789.55,0.0,18789.55,369.52
ITEM000028,ORD00009,PROD006,5,7884.13,0,39420.65,0.0,39420.65,277.37
ITEM000029,ORD00010,PROD038,5,4973.84,0,24869.2,0.0,24869.2,371.75
ITEM000030,ORD00010,PROD016,3,9251.89,20,27755.67,5551.13,22204.54,484.57
ITEM000031,ORD00010,PROD005,2,7885.33,20,15770.66,3154.13,12616.53,332.54
ITEM000032,ORD00010,PROD036,2,40439.03,10,80878.06,8087.81,72790.25,358.54
ITEM000033,ORD00010,PROD029,3,29661.49,0,88984.47,0.0,88984.47,187.5
ITEM000034,ORD00011,PROD049,5,27380.84,5,136904.2,6845.21,130058.99,53.2
ITEM000035,ORD00011,PROD012,3,48498.5,5,145495.5,7274.78,138220.72,327.68
ITEM000036,ORD00011,PROD040,4,22063.61,15,88254.44,13238.17,75016.27,71.6
ITEM000037,ORD00011,PROD044,4,45475.09,15,181900.36,27285.05,154615.31,110.09
ITEM000038,ORD00011,PROD004,1,29973.06,20,29973.06,5994.61,23978.45,400.77
ITEM000039,ORD00012,PROD009,2,30095.64,15,60191.28,9028.69,51162.59,274.36
ITEM000040,ORD00013,PROD049,4,27380.84,10,109523.36,10952.34,98571.02,391.48
ITEM000041,ORD00013,PROD037,1,15300.23,10,15300.23,1530.02,13770.21,458.34
ITEM000042,ORD00013,PROD020,2,14632.33,0,29264.66,0.0,29264.66,496.95
ITEM000043,ORD00014,PROD003,3,36626.5,20,109879.5,21975.9,87903.6,475.03
ITEM000044,ORD00015,PROD001,4,18789.55,15,75158.2,11273.73,63884.47,467.04
ITEM000045,ORD00015,PROD040,5,22063.61,15,110318.05,16547.71,93770.34,320.8
ITEM000046,ORD00016,PROD009,5,30095.64,0,150478.2,0.0,150478.2,381.09
ITEM000047,ORD00016,PROD007,2,2998.37,15,5996.74,899.51,5097.23,315.01
ITEM000048,ORD00016,PROD036,4,40439.03,15,161756.12,24263.42,137492.7,374.72
ITEM000049,ORD00017,PROD042,1,24809.33,15,24809.33,3721.4,21087.93,411.78
ITEM000050,ORD00017,PROD002,4,47540.64,15,190162.56,28524.38,161638.18,354.34
ITEM000051,ORD00017,PROD049,1,27380.84,20,27380.84,5476.17,21904.67,262.76
ITEM000052,ORD00018,PROD009,2,30095.64,15,60191.28,9028.69,51162.59,465.61
ITEM000053,ORD00018,PROD043,4,1815.99,20,7263.96,1452.79,5811.17,277.2
ITEM000054,ORD00018,PROD034,3,47449.39,0,142348.17,0.0,142348.17,71.26
ITEM000055,ORD00018,PROD035,4,48285.04,5,193140.16,9657.01,183483.15,246.15
ITEM000056,ORD00019,PROD012,4,48498.5,15,193994.0,29099.1,164894.9,238.61
ITEM000057,ORD00019,PROD038,5,4973.84,0,24869.2,0.0,24869.2,297.84
ITEM000058,ORD00019,PROD011,2,1127.17,15,2254.34,338.15,1916.19,332.48
ITEM000059,ORD00019,PROD028,1,25760.3,15,25760.3,3864.04,21896.25,495.07
ITEM000060,ORD00020,PROD011,5,1127.17,20,5635.85,1127.17,4508.68,484.7
ITEM000061,ORD00020,PROD012,1,48498.5,15,48498.5,7274.78,41223.72,166.97
ITEM000062,ORD00020,PROD036,5,40439.03,5,202195.15,10109.76,192085.39,409.96
ITEM000063,ORD00021,PROD035,5,48285.04,15,241425.2,36213.78,205211.42,255.73
ITEM000064,ORD00021,PROD007,2,2998.37,15,5996.74,899.51,5097.23,181.68
ITEM000065,ORD00021,PROD009,5,30095.64,15,150478.2,22571.73,127906.47,208.69
ITEM000066,ORD00021,PROD021,1,30631.46,20,30631.46,6126.29,24505.17,424.14
ITEM000067,ORD00021,PROD022,5,7060.74,10,35303.7,3530.37,31773.33,481.01
ITEM000068,ORD00022,PROD002,1,47540.64,15,47540.64,7131.1,40409.54,81.4
ITEM000069,ORD00022,PROD021,4,30631.46,10,122525.84,12252.58,110273.26,256.94
ITEM000070,ORD00022,PROD005,5,7885.33,5,39426.65,1971.33,37455.32,298.68
ITEM000071,ORD00022,PROD046,2,33159.86,20,66319.72,13263.94,53055.78,479.92
ITEM000072,ORD00022,PROD019,3,21654.06,15,64962.18,9744.33,55217.85,194.93
ITEM000073,ORD00023,PROD035,5,48285.04,15,241425.2,36213.78,205211.42,67.73
ITEM000074,ORD00024,PROD020,5,14632.33,15,73161.65,10974.25,62187.4,48.51
ITEM000075,ORD00025,PROD050,5,9324.24,5,46621.2,2331.06,44290.14,153.09
ITEM000076,ORD00025,PROD003,5,36626.5,5,183132.5,9156.62,173975.88,275.74
ITEM000077,ORD00025,PROD001,4,18789.55,20,75158.2,15031.64,60126.56,422.58
ITEM000078,ORD00026,PROD023,2,14678.02,0,29356.04,0.0,29356.04,393.75
ITEM000079,ORD00026,PROD041,5,6189.71,5,30948.55,1547.43,29401.12,38.47
ITEM000080,ORD00026,PROD030,1,2417.88,5,2417.88,120.89,2296.99,189.75
ITEM000081,ORD00026,PROD004,1,29973.06,0,29973.06,0.0,29973.06,332.56
ITEM000082,ORD00027,PROD041,2,6189.71,20,12379.42,2475.88,9903.54,384.49
ITEM000083,ORD00027,PROD003,1,36626.5,15,36626.5,5493.98,31132.52,340.94
