order_id,customer_id,warehouse_id,order_date,payment_method,order_status
ORD00001,CUST0465,WH001,2025-07-07,Net Banking,Delivered
ORD00002,CUST0905,WH001,2025-04-05,Net Banking,Shipped
ORD00003,CUST0245,WH006,2025-11-14,UPI,Delivered
ORD00004,CUST0839,WH007,2025-10-03,Credit Card,Delivered
ORD00005,CUST0785,WH009,2025-09-12,Credit Card,Delivered
ORD00006,CUST0420,WH006,2025-06-15,UPI,Delivered
ORD00007,CUST0069,WH001,2025-12-04,Credit Card,Delivered
ORD00008,CUST0207,WH002,2025-01-17,Cash,Delivered
ORD00009,CUST0585,WH007,2025-01-17,Cash,Delivered
ORD00010,CUST0605,WH005,2025-12-26,UPI,Delivered
ORD00011,CUST0736,WH002,2025-11-07,UPI,Cancelled
ORD00012,CUST0672,WH008,2025-04-17,UPI,Delivered
ORD00013,CUST0063,WH006,2025-11-24,Net Banking,Delivered
ORD00014,CUST0842,WH006,2025-08-01,UPI,Shipped
ORD00015,CUST0542,WH001,2025-05-17,UPI,Shipped
ORD00016,CUST0968,WH004,2025-02-09,Net Banking,Delivered
ORD00017,CUST0545,WH007,2025-04-29,Credit Card,Delivered
ORD00018,CUST0255,WH010,2025-12-03,Credit Card,Delivered
ORD00019,CUST0426,WH002,2025-10-13,Net Banking,Delivered
ORD00020,CUST0720,WH007,2025-08-23,UPI,Delivered
ORD00021,CUST0564,WH007,2025-04-03,Net Banking,Delivered
ORD00022,CUST0547,WH010,2025-03-22,Cash,Cancelled
ORD00023,CUST0564,WH006,2025-06-11,Debit Card,Delivered
ORD00024,CUST0441,WH006,2025-11-21,Net Banking,Delivered
ORD00025,CUST0220,WH007,2025-10-07,Net Banking,Cancelled
ORD00026,CUST0369,WH008,2025-05-11,Cash,Returned
ORD00027,CUST0744,WH001,2025-01-01,Debit Card,Delivered
ORD00028,CUST0139,WH005,2025-09-23,UPI,Delivered
ORD00029,CUST0220,WH006,2025-04-24,UPI,Shipped
ORD00030,CUST0843,WH005,2025-12-20,Net Banking,Delivered
ORD00031,CUST0949,WH010,2025-10-20,Credit Card,Delivered
ORD00032,CUST0365,WH003,2025-08-24,Credit Card,Delivered
ORD00033,CUST0256,WH004,2025-10-26,Debit Card,Shipped
ORD00034,CUST0585,WH007,2025-02-17,Net Banking,Cancelled
ORD00035,CUST0741,WH006,2025-02-09,Cash,Delivered
ORD00036,CUST0720,WH010,2025-12-20,UPI,Delivered
ORD00037,CUST0039,WH010,2025-06-03,Cash,Delivered
ORD00038,CUST0944,WH006,2025-01-29,Debit Card,Cancelled
ORD00039,CUST0427,WH002,2025-08-11,Credit Card,Delivered
ORD00040,CUST0951,WH001,2025-11-05,Cash,Delivered
ORD00041,CUST0043,WH006,2025-09-26,Net Banking,Delivered
ORD00042,CUST0515,WH004,2025-06-17,Credit Card,Delivered
ORD00043,CUST0995,WH008,2025-07-21,Net Banking,Delivered
ORD00044,CUST0228,WH007,2025-02-16,Debit Card,Shipped
ORD00045,CUST0136,WH006,2025-03-17,UPI,Delivered
ORD00046,CUST0562,WH007,2025-01-26,Debit Card,Delivered
ORD00047,CUST0445,WH003,2025-09-14,Credit Card,Delivered
ORD00048,CUST0500,WH007,2025-04-12,Net Banking,Delivered
ORD00049,CUST0754,WH009,2025-11-12,Credit Card,Delivered
ORD00050,CUST0796,WH007,2025-05-17,Debit Card,Delivered
ORD00051,CUST0092,WH002,2025-10-22,Cash,Delivered
ORD00052,CUST0196,WH006,2025-06-28,Debit Card,Delivered
ORD00053,CUST0789,WH005,2025-01-13,Credit Card,Returned
ORD00054,CUST0842,WH008,2025-11-12,Net Banking,Delivered
ORD00055,CUST0947,WH004,2025-01-23,Credit Card,Delivered
ORD00056,CUST0776,WH002,2025-03-21,UPI,Delivered
ORD00057,CUST0972,WH010,2025-05-05,Credit Card,Shipped
ORD00058,CUST0015,WH006,2025-05-28,UPI,Delivered
ORD00059,CUST0024,WH006,2025-08-30,Credit Card,Delivered
ORD00060,CUST0209,WH009,2025-04-19,Net Banking,Shipped
ORD00061,CUST0495,WH010,2025-10-08,Credit Card,Delivered
ORD00062,CUST0019,WH007,2025-12-09,Net Banking,Cancelled
ORD00063,CUST0045,WH005,2025-09-27,Credit Card,Delivered
ORD00064,CUST0809,WH010,2025-04-13,Debit Card,Delivered
ORD00065,CUST0968,WH001,2025-12-02,UPI,Delivered
ORD00066,CUST0679,WH006,2025-05-19,UPI,Delivered
ORD00067,CUST0396,WH004,2025-11-29,Cash,Delivered
ORD00068,CUST0102,WH006,2025-12-30,Cash,Shipped
ORD00069,CUST0091,WH003,2025-09-30,Credit Card,Delivered
ORD00070,CUST0575,WH001,2025-08-23,UPI,Delivered
ORD00071,CUST0313,WH006,2025-09-29,Cash,Delivered
ORD00072,CUST0019,WH006,2025-03-22,Debit Card,Delivered
ORD00073,CUST0242,WH009,2025-06-04,Debit Card,Shipped
ORD00074,CUST0264,WH007,2025-11-17,UPI,Cancelled
ORD00075,CUST0231,WH003,2025-05-24,Debit Card,Cancelled
ORD00076,CUST0141,WH002,2025-12-03,Cash,Delivered
ORD00077,CUST0628,WH004,2025-12-14,Cash,Delivered
ORD00078,CUST0437,WH005,2025-03-20,Net Banking,Delivered
ORD00079,CUST0135,WH004,2025-10-05,Credit Card,Delivered
ORD00080,CUST0820,WH004,2025-12-17,Credit Card,Delivered
ORD00081,CUST0921,WH009,2025-12-28,Credit Card,Delivered
ORD00082,CUST0672,WH010,2025-03-16,Credit Card,Delivered
ORD00083,CUST0546,WH002,2025-10-13,Credit Card,Delivered
ORD00084,CUST0745,WH001,2025-03-16,Debit Card,Cancelled
ORD00085,CUST0985,WH007,2025-07-31,Debit Card,Delivered
