Order_ID,Order_Date,Delivery_Date,Product,Category,Supplier,Warehouse,City,State,Customer_Type,Order_Quantity,Unit_Price,Gross_Sales,Discount_Percentage,Discount_Amount,Net_Sales,Cost_Price,Total_Cost,Profit,Shipping_Cost,Delivery_Status,Payment_Method,Delivery_Days,Customer_Rating,Order_Priority
100001,2026-04-23,2026-04-30,Keyboard,Accessories,XYZ Traders,Chennai WH,Bangalore,Karnataka,Wholesale,15,900,13500,0,0.0,13500.0,586,8790,4710.0,2781,Delivered,Cash,7,3,Medium
100002,2026-01-10,2026-01-13,Scanner,Office Supplies,Prime Distributors,Mumbai WH,Ahmedabad,Gujarat,Retail,3,12000,36000,0,0.0,36000.0,6777,20331,15669.0,1720,Delivered,Credit Card,3,3,Low
100003,2026-08-05,2026-08-10,Monitor,Electronics,Tech World,Hyderabad WH,Mumbai,Maharashtra,Wholesale,20,12000,240000,10,24000.0,216000.0,8609,172180,43820.0,223,Delivered,Credit Card,5,2,Medium
100004,2026-01-26,2026-01-28,SSD,Storage,Tech World,Hyderabad WH,Jaipur,Rajasthan,Wholesale,7,5500,38500,10,3850.0,34650.0,3845,26915,7735.0,1681,Delivered,Debit Card,2,3,Medium
100005,2026-09-17,2026-09-22,Keyboard,Accessories,XYZ Traders,Chennai WH,Kolkata,West Bengal,Retail,9,900,8100,15,1215.0,6885.0,542,4878,2007.0,1731,Delivered,Cash,5,3,High
100006,2026-08-03,2026-08-08,Scanner,Office Supplies,Global Supply,Chennai WH,Jaipur,Rajasthan,Retail,13,12000,156000,0,0.0,156000.0,8649,112437,43563.0,700,In Transit,Debit Card,5,3,High
100007,2026-08-19,2026-08-24,Laptop,Electronics,Prime Distributors,Mumbai WH,Pune,Maharashtra,Wholesale,1,55000,55000,5,2750.0,52250.0,33568,33568,18682.0,2706,Delivered,Cash,5,4,High
100008,2026-11-21,2026-11-24,Switch,Networking,Tech World,Hyderabad WH,Bangalore,Karnataka,Wholesale,14,6000,84000,5,4200.0,79800.0,3455,48370,31430.0,347,Delivered,Cash,3,5,Low
100009,2026-05-05,2026-05-08,Office Desk,Furniture,Global Supply,Hyderabad WH,Jaipur,Rajasthan,Wholesale,17,15000,255000,0,0.0,255000.0,10575,179775,75225.0,849,In Transit,Net Banking,3,2,Low
100010,2026-10-05,2026-10-09,Projector,Electronics,XYZ Traders,Mumbai WH,Kolkata,West Bengal,Retail,11,40000,440000,10,44000.0,396000.0,30395,334345,61655.0,1234,In Transit,UPI,4,4,Low
