Order_ID,Order_Date,Delivery_Date,Product,Category,Supplier,Warehouse,City,Customer_Type,Order_Quantity,Unit_Price,Total_Cost,Shipping_Cost,Delivery_Status,Payment_Method
100001,2025-03-14,2025-03-19,Office Desk,Furniture,ABC Suppliers,Chennai WH,Kolkata,Wholesale,16,15000,240000,940,Delivered,Credit Card
100002,2025-11-08,2025-11-15,Laptop,Electronics,Prime Distributors,Hyderabad WH,Lucknow,Retail,11,55000,605000,1389,Delivered,Net Banking
100003,2025-07-19,2025-07-20,Monitor,Electronics,XYZ Traders,Mumbai WH,Kolkata,Retail,4,12000,48000,748,Delayed,UPI
100004,2025-07-26,2025-08-02,Hard Disk,Storage,Global Supply,Mumbai WH,Jaipur,Retail,10,4200,42000,2381,In Transit,Net Banking
100005,2025-03-23,2025-03-27,Router,Networking,Prime Distributors,Bangalore WH,Mumbai,Wholesale,8,3500,28000,2832,Delivered,UPI
100006,2025-08-20,2025-08-22,Switch,Networking,Prime Distributors,Delhi WH,Jaipur,Retail,18,6000,108000,1881,Delayed,Cash
100007,2025-09-14,2025-09-18,Projector,Electronics,Prime Distributors,Chennai WH,Delhi,Wholesale,19,40000,760000,1941,Delivered,Cash
100008,2025-12-03,2025-12-06,Office Chair,Furniture,Tech World,Hyderabad WH,Hyderabad,Retail,5,8500,42500,1605,Delivered,Cash
100009,2025-10-10,2025-10-17,Desktop,Electronics,ABC Suppliers,Mumbai WH,Delhi,Wholesale,2,45000,90000,1211,Delivered,Net Banking
100010,2025-12-19,2025-12-20,Switch,Networking,Tech World,Bangalore WH,Chennai,Retail,4,6000,24000,1524,Delivered,UPI
100011,2025-11-02,2025-11-03,SSD,Storage,ABC Suppliers,Chennai WH,Chennai,Wholesale,4,5500,22000,1874,Delivered,Debit Card
100012,2025-12-29,2026-01-05,Webcam,Accessories,ABC Suppliers,Bangalore WH,Chennai,Retail,2,2500,5000,2911,Delivered,Credit Card
100013,2025-06-17,2025-06-20,Desktop,Electronics,Prime Distributors,Bangalore WH,Kolkata,Retail,12,45000,540000,2644,Cancelled,Debit Card
